unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1566777600,8/26/2019 0:00,XRP/USD,0.26983,0.2805,0.2665,0.27007,22434869.76,6058985.276
1566691200,8/25/2019 0:00,XRP/USD,0.27175,0.2765,0.266,0.2695,20328330.11,5478484.965
1566604800,8/24/2019 0:00,XRP/USD,0.2773,0.27765,0.2641,0.27196,18767883.82,5104113.684
1566518400,8/23/2019 0:00,XRP/USD,0.27059,0.27873,0.26768,0.2776,19891722.59,5521942.192
1566432000,8/22/2019 0:00,XRP/USD,0.2662,0.275,0.26014,0.27096,29943042.18,8113366.71
1566345600,8/21/2019 0:00,XRP/USD,0.2745,0.2745,0.25782,0.26576,22671120.89,6025077.088
1566259200,8/20/2019 0:00,XRP/USD,0.2826,0.28278,0.26903,0.27383,20163383.17,5521339.215
1566172800,8/19/2019 0:00,XRP/USD,0.28315,0.29097,0.27535,0.28215,26087373.31,7360552.379
1566086400,8/18/2019 0:00,XRP/USD,0.26589,0.29227,0.26317,0.28307,27101221.22,7671542.689
1566000000,8/17/2019 0:00,XRP/USD,0.26122,0.26979,0.25809,0.2656,16219652.36,4307939.666
1565913600,8/16/2019 0:00,XRP/USD,0.26341,0.26496,0.25421,0.26084,21882869.92,5707927.791
1565827200,8/15/2019 0:00,XRP/USD,0.2624,0.26845,0.225,0.26361,35814701.79,9441113.54
1565740800,8/14/2019 0:00,XRP/USD,0.29675,0.29755,0.24284,0.26249,55467762.47,14559732.97
1565654400,8/13/2019 0:00,XRP/USD,0.30031,0.30103,0.29156,0.29729,12138472.26,3608646.417
1565568000,8/12/2019 0:00,XRP/USD,0.30275,0.30564,0.29764,0.30006,8016470.54,2405422.15
1565481600,8/11/2019 0:00,XRP/USD,0.29868,0.30595,0.2947,0.303,8262795.073,2503626.907
1565395200,8/10/2019 0:00,XRP/USD,0.29625,0.30555,0.28154,0.29814,15859662.19,4728399.686
1565308800,8/9/2019 0:00,XRP/USD,0.30832,0.30854,0.28922,0.29557,22220461.67,6567701.856
1565222400,8/8/2019 0:00,XRP/USD,0.31088,0.31158,0.30357,0.30761,18534246.77,5701319.65
1565136000,8/7/2019 0:00,XRP/USD,0.311,0.3161,0.30682,0.3106,16088695.98,4997148.972
1565049600,8/6/2019 0:00,XRP/USD,0.32159,0.32553,0.3075,0.31082,19173895.98,5959630.349
